city,name,price,province
唐山, 御沁园三房全明户型 格局正气,720万,河北
唐山," 超低单价,不临街,随时腾房南北向!",1030万,河北
唐山," 外地人可买!!地铁口大三房,房东置换低总价急售,随时可以看房",405万,河北
唐山, 中房樱桃苑带车位!一梯一户指纹入库 11号线三林东 实验,640万,河北
唐山, 麦克花园 徐汇中环内 希售大平层 口物业 诚售!,920万,河北
唐山," 御翠园单价不到十万,一手业主全新房,内环内纯独栋别墅,随时看",5300万,河北
唐山, 嘉兴市丨新城打造丨可包租丨可自营丨一铺养三代丨既买既,80万,河北
唐山," 金外滩新出南北通大三房,高区江景,送地下车位,低价",1860万,河北
唐山, 急售单价52 全明户型满五年 近7号线岚皋站 到价签字配套成熟,190万,河北
唐山," 新出一梯二户全明双南两房中层4楼,业主诚意急售看房随时",235万,河北
唐山, 城中花园 三房出售 两房朝南的户型 房东诚心出售,530万,河北
唐山, 房东诚心出售 出门即是公交车站 家具家电全送拎包入,200万,河北
唐山," 新城旭辉府 精装修全配 满二年 房东钥匙已送到本公司,上海金山",176万,河北
唐山," ,开鲁四村,客厅有窗,双南两房,婚装1年,开鲁",280万,河北
唐山," 大型企业环绕,精装修住宅,租价高,可投姿可,可解决",96.66万,河北
唐山," 荷兰新城,百年,品质小区,精装修,全明户型,南北通透",580万,河北
唐山," 富力桃园 豪装带地暖,家具家电全送,距离17号线800米",290万,河北
唐山," 佘山新城,新小区,210万精装2房,精装交付送地暖,现房交付。",210万,河北
唐山," 申江豪城品质小区,装修温馨,户型正气,近,送产权车位",486万,河北
唐山," 美景良辰南区刚需紧凑两居室,您改善刚刚好,基本上随时看",305万,河北
唐山," 长兴岛大城小院高品质社区带,精装修,送地暖空调度假房",180万,河北
唐山, 美兰湖岭域 稀-缺别墅户型 豪装下叠 诚意出售 看房随时,800万,河北
唐山," (远洋万和四季)中洲珑悦,东原逸墅,三房,一手更名,随时看房",290万,河北
唐山, 外地人可买丨精装送家具家电丨可丨首付仅35万,60万,河北
唐山, 达安城 2室1厅 86平,740万,河北
唐山, 罗南二村 新装修 小两房 满五年,235万,河北
唐山," 2号线地铁口,稀有小面积出售,可租9500月,看房都方便",470万,河北
唐山, 品质小区 一楼带花园 精装两房,325万,河北
唐山," 3,4,13金沙江站,一楼天井已搭建好,满五年,配套成熟,",230万,河北
唐山," 真.上门实勘,全明户型,税少,看房有钥匙。房东诚心出售",520万,河北
唐山," 低总价,全新装修 从未入住 照片实拍 随时看房",150万,河北
唐山, 水岸金桥苑近13号线+商业环绕 房东置换急售 精装两房 近万达,282万,河北
唐山," 汇福家园兴盛里两房,景观南北通透,一手动迁现已可交易",230万,河北
唐山," 中天集团力荐红盘,临沪六公里,70年产权住宅,一线城市品质生活",91万,河北
唐山, 新!惊爆价!境外业主刚回国不懂市场!急抛!本周必卖!,1500万,河北
唐山, 无需社宝+可网签+5.5米复式精装两房+月租金4千元起+看房,80万,河北
唐山," (大宅)南郊别墅 私家湖景宅院,北美庄园生活 岛屿大独栋",1900万,河北
唐山, 豪装300万 法式别墅 面宽22米 豪华装修 挑空8米 好房,900万,河北
唐山, 瀚林世家 精装修房可拎包入住房东诚心出售 看房随时,600万,河北
唐山," 博山高层新挂牌三房,业主出售,看房有钥匙,价格能谈",458万,河北
唐山, 新出房源附属+华夏西校房婚房20装全明户型,170万,河北
唐山, 海棠苑 正规二房 中间楼层 低税费 生活出行都很方便 房东心诚,380万,河北
唐山, 沿线9号地铁醉白池500米 包租5000 精装复式5.6米 独立产权,80万,河北
唐山, 湖畔首 府丨精装准现房丨单价一万丨多层电梯洋房丨品质小区,94万,河北
唐山, 老房东委托.看房方便.满五年.不靠马路.采光好边套全明,300万,河北
唐山," 嘉善南站沪嘉同城,西塘景区景观房,首付三成不,送装修车位",75万,河北
唐山, 小区中轴线位置!99%通透户型+高区新房诚售。,2350万,河北
唐山," 杨园二村 精装修 3室 低总价285万,超低单价 急售",290万,河北
唐山, 尼德兰官邸丨开发商保留房源丨底复和顶复丨加二套大平层房源,1280万,河北
唐山, 春申景城湖畔林语 2室1厅 75平,525万,河北
唐山," 虹口区,豪华装修直接出手,房东套现急卖,近,带产权车位",810万,河北
唐山, 华润别墅+边套三面大花园+三面采光+照片实地拍摄+高品质社区+,1280万,河北
唐山, 首付25万+有产证+交通便利+送家具家电+产证清晰,61万,河北
唐山, 保翔苑房东急售丨250万精 装2房丨随时看,256万,河北
